GLOBALEVENTID	YEAR	Actor1Name	EventCode	NumArticles	SOURCEURL
719024869	2017	FARMER	061	6	http://www.kansas.com/news/business/article192357844.html
719024870	2017	FARMER	061	18	http://www.kansas.com/news/business/article192357844.html
719024871	2017	FARMER	061	6	http://www.kansas.com/news/business/article192357844.html
719024872	2017	FARMER	061	6	http://www.kansas.com/news/business/article192357844.html
719024873	2017	FARMER	061	24	http://www.kansas.com/news/business/article192357844.html
719024874	2017	UNITED STATES	130	2	http://www.independent.co.uk/news/world/americas/president-donald-trump-white-house-first-year-inauguration-federal-bureaucracy-barack-obama-a8135921.html
719024875	2017		043	18	http://www.TucsonNewsNow.com/story/37167033/dog-missing-for-a-year-turns-up-4-states-away
719024876	2017	POLICE	130	2	http://www.heraldsun.com.au/news/victoria/three-men-burnt-while-using-illegal-fireworks-to-bring-in-2018/news-story/3f19242cc5fda5181931965d81fc1626?nk=0a819496d71c943b20ea7f7092959275-1514764002
719024877	2017	POLICE	130	5	http://www.heraldsun.com.au/news/victoria/three-men-burnt-while-using-illegal-fireworks-to-bring-in-2018/news-story/3f19242cc5fda5181931965d81fc1626?nk=0a819496d71c943b20ea7f7092959275-1514764002
719024878	2017	POLICE	173	2	http://www.heraldsun.com.au/news/victoria/three-men-burnt-while-using-illegal-fireworks-to-bring-in-2018/news-story/3f19242cc5fda5181931965d81fc1626?nk=0a819496d71c943b20ea7f7092959275-1514764002
719024879	2017	POLICE	173	5	http://www.heraldsun.com.au/news/victoria/three-men-burnt-while-using-illegal-fireworks-to-bring-in-2018/news-story/3f19242cc5fda5181931965d81fc1626?nk=0a819496d71c943b20ea7f7092959275-1514764002
719024880	2017	MISSOURI	042	18	http://www.TucsonNewsNow.com/story/37167033/dog-missing-for-a-year-turns-up-4-states-away
719024881	2017		042	2	http://www.njherald.com/article/20171231/AP/312319872
719024882	2017	SECURITY COUNCIL	163	2	https://www.channelnewsasia.com/news/world/after-trump-criticism--china-denies-selling-oil-illicitly-to-north-korea-9819368
719024883	2017		020	6	https://blueprint.ng/2018-enough-of-blame-game-asuu-tells-buhari/
719024884	2017		042	6	http://forum.pafoa.org/external.php?s=ed9c3d72f9c74d592d53498146586fe2&type=RSS2&forumids=11
719024885	2017		020	2	https://blueprint.ng/2018-enough-of-blame-game-asuu-tells-buhari/
719024886	2017		112	2	https://blueprint.ng/2018-enough-of-blame-game-asuu-tells-buhari/
719024887	2017	DEPUTY	010	4	http://gwdtoday.com/main.asp?SectionID=2&SubSectionID=27&TM=67505.24
719024888	2017	SENATE	043	2	http://forum.pafoa.org/external.php?s=ed9c3d72f9c74d592d53498146586fe2&type=RSS2&forumids=11
